Var	-LOG([Fdr (Pdat Gx)])	Model	Value	-LOG([Fdr (Pdat Gx)])	Model	Value	Var
ZNF625	0.041671362	Bulk (unadjusted)	0.086006537	0.103232342	Cell contribution (adjusted)	0.150771392	ZNF625
ZNF624	0.110826813	Bulk (unadjusted)	-0.143421272	0.015075417	Cell contribution (adjusted)	-0.02135024	ZNF624
ZNF623	0.201683799	Bulk (unadjusted)	-0.272572505	0.413992795	Cell contribution (adjusted)	-0.398753694	ZNF623
ZNF622	0.160058824	Bulk (unadjusted)	0.391916142	0.01686322	Cell contribution (adjusted)	0.0798982	ZNF622
ZNF621	0.174525874	Bulk (unadjusted)	-0.198134571	0.172379938	Cell contribution (adjusted)	0.174669406	ZNF621
ZNF620	0.151912531	Bulk (unadjusted)	-0.232699186	0.24579127	Cell contribution (adjusted)	-0.517761642	ZNF620
ZNF619	0.304302992	Bulk (unadjusted)	-0.283111057	0.391418318	Cell contribution (adjusted)	-0.30741913	ZNF619
ZNF618	0.040964687	Bulk (unadjusted)	0.249792572	0.032157847	Cell contribution (adjusted)	0.170385401	ZNF618
ZNF616	0.139147123	Bulk (unadjusted)	0.247787094	0.637159088	Cell contribution (adjusted)	0.431136993	ZNF616
ZNF615	0.141875683	Bulk (unadjusted)	-0.172719558	0.156724161	Cell contribution (adjusted)	0.219068641	ZNF615
ZNF614	0.171362019	Bulk (unadjusted)	0.353020501	1.399120411	Cell contribution (adjusted)	0.659584862	ZNF614
ZNF613	1.812799078	Bulk (unadjusted)	0.974160472	1.740509068	Cell contribution (adjusted)	0.941090125	ZNF613
ZNF611	0.153450341	Bulk (unadjusted)	-0.443077657	0.413624385	Cell contribution (adjusted)	-0.623994966	ZNF611
ZNF610	0.178073666	Bulk (unadjusted)	-0.444711648	0.001212065	Cell contribution (adjusted)	0.004622398	ZNF610
